category,title,shortDes,image,longDes
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS535XM-12E1-V-LC,Cisco Systems AS535XM-12E1-V-LC,Cisco Systems AS535XM-12E1-V-LC AS5350XM Voice G.711 w/ 12E1, 6 AS5X-PVDM2-64, IP+ IOS,/media/images/org/I323_AS535XM-12E1-V-LC.jpg,Cisco Systems AS535XM-12E1-V-LC                                 Cisco Systems AS535XM-12E1-V-LC AS5350XM Voice G.711 w/ 12E1, 6 AS5X-PVDM2-64, IP+ IOS
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS535-4E1-120-AC,Cisco Systems AS535-4E1-120-AC,Cisco Systems AS535-4E1-120-AC AC AS5350, 4E1, 120 ports, IP+ IOS, 120 Data Lic,/media/images/org/I334_AS535-2E1-60-AC.jpg,Cisco Systems AS535-4E1-120-AC                                 Cisco Systems AS535-4E1-120-AC AC AS5350, 4E1, 120 ports, IP+ IOS, 120 Data Lic
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS5350-AC,Cisco Systems AS5350-AC,Cisco Systems AS5350-AC AC AS5350 Chassis with IOS IP+ and Default Memory,/media/images/org/I344_AS5350-AC.jpg,Cisco Systems AS5350-AC                                 Cisco Systems AS5350-AC AC AS5350 Chassis with IOS IP+ and Default Memory
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS53-4CE1+,Cisco Systems AS53-4CE1+,Cisco Systems AS53-4CE1+ Quad E1/PRI Plus High Speed Serial, Spare,/templates/ew_it_market/img/no_image.png,Cisco Systems AS53-4CE1+                                 Cisco Systems AS53-4CE1+ Quad E1/PRI Plus High Speed Serial, Spare
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS5300,Cisco Systems AS5300,Cisco Systems AS5300 AS5300 Dial Shelf - 1 x 10Base-T , 1 x 10/100Base-TX - 3 x Expansion Slot,/media/images/org/AS5300.jpg,Cisco Systems AS5300                                 Cisco Systems AS5300 AS5300 Dial Shelf - 1 x 10Base-T , 1 x 10/100Base-TX - 3 x Expansion Slot
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS5300-120VOIP-A,Cisco Systems AS5300-120VOIP-A,Cisco Systems AS5300-120VOIP-A AS5300 VoIP Gateway-120 Voice Channels/4E1+, IOS IP+ S53CVP,/media/images/org/I304_AS5300-120VOIP-A.jpg,Cisco Systems AS5300-120VOIP-A                                 Cisco Systems AS5300-120VOIP-A AS5300 VoIP Gateway-120 Voice Channels/4E1+, IOS IP+ S53CVP
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS5200,Cisco Systems AS5200,Cisco Systems AS5200 AS5200 Universal Access Server,/media/images/org/I303_AS5200.jpg,Cisco Systems AS5200                                 Cisco Systems AS5200 AS5200 Universal Access Server
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS2511-RJ,Cisco Systems AS2511-RJ,Cisco Systems AS2511-RJ Cisco Access Server 2511-RJ Ethernet/Serial/16 Async,/media/images/org/I305_AS2511-RJjpg.jpg,Cisco Systems AS2511-RJ                                 Cisco Systems AS2511-RJ Cisco Access Server 2511-RJ Ethernet/Serial/16 Async
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS54XM-8E1-V-MC,Cisco Systems AS54XM-8E1-V-MC,Cisco Systems AS54XM-8E1-V-MC AS5400XM Voice Med-Comp w/ 8E1,8 AS5X-PVDM2-64,IP+ IOS,/media/images/org/I26986_AS54HPX-2E1-60-AC.jpg,Cisco Systems AS54XM-8E1-V-MC                                 Cisco Systems AS54XM-8E1-V-MC AS5400XM Voice Med-Comp w/ 8E1,8 AS5X-PVDM2-64,IP+ IOS
Cisco Systems>Cisco Router series>Cisco Access Server>Cisco Systems AS54HPX-8E1-240AC,Cisco Systems AS54HPX-8E1-240AC,Cisco Systems AS54HPX-8E1-240AC AS5400HPX,8E1, 276 ports,Dual AC,IP+ IOS,240 ENHVOX Lic,/media/images/org/I2229_AS54HPX-4E1-120-AC_1.jpg,Cisco Systems AS54HPX-8E1-240AC                                 Cisco Systems AS54HPX-8E1-240AC AS5400HPX,8E1, 276 ports,Dual AC,IP+ IOS,240 ENHVOX Lic
